Year,LocationName,DataSource,Category,Measure,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2018,02116,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,9.3,7.7,11.1,20628,POINT (-71.07563718 42.35059553),02116,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2018,02116,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Crude prevalence,30.2,28.4,31.8,20628,POINT (-71.07563718 42.35059553),02116,PREVENT,COREW,CrdPrv,Core preventive services for older women
2019,02116,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,Crude prevalence,6.9,6.1,7.9,20628,POINT (-71.07563718 42.35059553),02116,PREVENT,ACCESS2,CrdPrv,Health Insurance
2018,02116,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Crude prevalence,73.0,71.9,73.9,20628,POINT (-71.07563718 42.35059553),02116,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2019,02116,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,67.8,67.2,68.4,20628,POINT (-71.07563718 42.35059553),02116,PREVENT,BPMED,CrdPrv,Taking BP Medication
2019,02116,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,Crude prevalence,9.4,8.4,10.5,20628,POINT (-71.07563718 42.35059553),02116,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2019,02116,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,3.7,3.6,3.9,20628,POINT (-71.07563718 42.35059553),02116,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2019,02116,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,Crude prevalence,10.7,9.9,11.7,20628,POINT (-71.07563718 42.35059553),02116,HLTHSTAT,GHLTH,CrdPrv,General Health
2019,02116,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,16.3,16.0,16.6,20628,POINT (-71.07563718 42.35059553),02116,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2018,02115,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,Crude prevalence,62.7,60.0,65.1,28441,POINT (-71.088747 42.34186113),02115,PREVENT,DENTAL,CrdPrv,Dental Visit
2019,02115,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,20.6,19.2,21.9,28441,POINT (-71.088747 42.34186113),02115,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2018,02115,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Crude prevalence,24.3,22.9,25.7,28441,POINT (-71.088747 42.34186113),02115,PREVENT,COREW,CrdPrv,Core preventive services for older women
2019,02115,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Crude prevalence,14.5,14.3,14.7,28441,POINT (-71.088747 42.34186113),02115,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2019,02115,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,11.5,11.2,11.7,28441,POINT (-71.088747 42.34186113),02115,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2019,02115,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,Crude prevalence,12.8,11.6,14.2,28441,POINT (-71.088747 42.34186113),02115,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2019,02115,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,2.8,2.8,2.9,28441,POINT (-71.088747 42.34186113),02115,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2019,02115,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,Crude prevalence,10.7,9.6,12.0,28441,POINT (-71.088747 42.34186113),02115,PREVENT,ACCESS2,CrdPrv,Health Insurance
2019,02115,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,Crude prevalence,76.3,74.7,77.9,28441,POINT (-71.088747 42.34186113),02115,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2019,02115,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,18.5,17.8,19.1,28441,POINT (-71.088747 42.34186113),02115,HLTHOUT,OBESITY,CrdPrv,Obesity
2018,02115,BRFSS,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,80.6,79.7,81.5,28441,POINT (-71.088747 42.34186113),02115,PREVENT,MAMMOUSE,CrdPrv,Mammography
2019,02115,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,3.0,2.9,3.1,28441,POINT (-71.088747 42.34186113),02115,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2019,02115,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,Crude prevalence,14.0,13.1,15.3,28441,POINT (-71.088747 42.34186113),02115,HLTHSTAT,GHLTH,CrdPrv,General Health
2019,02115,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,49.7,48.8,50.7,28441,POINT (-71.088747 42.34186113),02115,PREVENT,BPMED,CrdPrv,Taking BP Medication
2019,02115,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,Crude prevalence,9.6,9.0,10.2,28441,POINT (-71.088747 42.34186113),02115,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2018,02115,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Crude prevalence,66.5,65.6,67.4,28441,POINT (-71.088747 42.34186113),02115,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2019,02115,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,1.7,1.6,1.7,28441,POINT (-71.088747 42.34186113),02115,HLTHOUT,STROKE,CrdPrv,Stroke
2018,02115,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,Crude prevalence,71.4,69.9,73.0,28441,POINT (-71.088747 42.34186113),02115,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2018,02115,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,17.6,15.6,19.8,28441,POINT (-71.088747 42.34186113),02115,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2019,02115,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,4.8,4.7,4.9,28441,POINT (-71.088747 42.34186113),02115,HLTHOUT,DIABETES,CrdPrv,Diabetes
2019,02115,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,15.3,15.0,15.6,28441,POINT (-71.088747 42.34186113),02115,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2019,02115,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,Crude prevalence,26.1,24.4,27.8,28441,POINT (-71.088747 42.34186113),02115,RISKBEH,LPA,CrdPrv,Physical Inactivity
2019,02115,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,3.7,3.5,4.0,28441,POINT (-71.088747 42.34186113),02115,HLTHOUT,COPD,CrdPrv,COPD
2018,02115,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,36.9,35.7,37.9,28441,POINT (-71.088747 42.34186113),02115,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,02115,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",Crude prevalence,33.3,31.6,35.2,28441,POINT (-71.088747 42.34186113),02115,PREVENT,COREM,CrdPrv,Core preventive services for older men
2019,02115,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,Crude prevalence,24.5,23.8,25.2,28441,POINT (-71.088747 42.34186113),02115,RISKBEH,BINGE,CrdPrv,Binge Drinking
2019,02115,BRFSS,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,22.8,21.8,23.8,28441,POINT (-71.088747 42.34186113),02115,HLTHOUT,DEPRESSION,CrdPrv,Depression
2019,02115,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,12.2,11.8,12.7,28441,POINT (-71.088747 42.34186113),02115,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2019,02115,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,1.8,1.7,1.8,28441,POINT (-71.088747 42.34186113),02115,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2019,02115,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Crude prevalence,73.9,73.1,74.6,28441,POINT (-71.088747 42.34186113),02115,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2019,02114,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,Crude prevalence,26.5,26.0,27.0,11999,POINT (-71.06730799 42.3631516),02114,RISKBEH,BINGE,CrdPrv,Binge Drinking
2019,02114,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,4.3,4.1,4.5,11999,POINT (-71.06730799 42.3631516),02114,HLTHOUT,DIABETES,CrdPrv,Diabetes
2019,02114,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,16.3,16.0,16.7,11999,POINT (-71.06730799 42.3631516),02114,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2019,02114,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,Crude prevalence,16.7,15.8,17.9,11999,POINT (-71.06730799 42.3631516),02114,RISKBEH,LPA,CrdPrv,Physical Inactivity
2019,02114,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,2.6,2.4,2.9,11999,POINT (-71.06730799 42.3631516),02114,HLTHOUT,COPD,CrdPrv,COPD
2018,02114,BRFSS,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,82.4,81.0,83.6,11999,POINT (-71.06730799 42.3631516),02114,PREVENT,MAMMOUSE,CrdPrv,Mammography
2019,02114,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,2.9,2.8,3.0,11999,POINT (-71.06730799 42.3631516),02114,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2018,02114,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",Crude prevalence,42.9,39.9,45.6,11999,POINT (-71.06730799 42.3631516),02114,PREVENT,COREM,CrdPrv,Core preventive services for older men
2019,02114,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,9.3,9.1,9.7,11999,POINT (-71.06730799 42.3631516),02114,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2019,02114,BRFSS,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,18.5,17.9,19.3,11999,POINT (-71.06730799 42.3631516),02114,HLTHOUT,DEPRESSION,CrdPrv,Depression
2019,02114,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,1.5,1.5,1.6,11999,POINT (-71.06730799 42.3631516),02114,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2019,02114,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,11.6,11.0,12.6,11999,POINT (-71.06730799 42.3631516),02114,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2018,02114,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Crude prevalence,32.7,30.4,34.8,11999,POINT (-71.06730799 42.3631516),02114,PREVENT,COREW,CrdPrv,Core preventive services for older women
2019,02114,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Crude prevalence,76.3,75.7,76.8,11999,POINT (-71.06730799 42.3631516),02114,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2019,02114,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,Crude prevalence,6.5,6.1,7.0,11999,POINT (-71.06730799 42.3631516),02114,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2019,02114,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,13.7,13.4,14.0,11999,POINT (-71.06730799 42.3631516),02114,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2018,02114,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,32.3,31.5,33.1,11999,POINT (-71.06730799 42.3631516),02114,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,02114,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,Crude prevalence,78.2,76.2,79.7,11999,POINT (-71.06730799 42.3631516),02114,PREVENT,DENTAL,CrdPrv,Dental Visit
2019,02114,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,4.6,4.5,4.7,11999,POINT (-71.06730799 42.3631516),02114,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2019,02114,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,Crude prevalence,88.6,87.6,89.4,11999,POINT (-71.06730799 42.3631516),02114,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2019,02114,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,17.3,16.8,17.9,11999,POINT (-71.06730799 42.3631516),02114,HLTHOUT,OBESITY,CrdPrv,Obesity
2019,02114,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Crude prevalence,19.7,19.4,19.9,11999,POINT (-71.06730799 42.3631516),02114,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2019,02114,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,Crude prevalence,8.4,7.4,9.7,11999,POINT (-71.06730799 42.3631516),02114,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2019,02114,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,1.4,1.4,1.5,11999,POINT (-71.06730799 42.3631516),02114,HLTHOUT,STROKE,CrdPrv,Stroke
2019,02114,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,63.0,62.1,63.7,11999,POINT (-71.06730799 42.3631516),02114,PREVENT,BPMED,CrdPrv,Taking BP Medication
2018,02114,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Crude prevalence,75.2,73.9,76.5,11999,POINT (-71.06730799 42.3631516),02114,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2019,02114,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,Crude prevalence,6.1,5.5,7.1,11999,POINT (-71.06730799 42.3631516),02114,PREVENT,ACCESS2,CrdPrv,Health Insurance
2018,02114,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,6.8,5.0,8.9,11999,POINT (-71.06730799 42.3631516),02114,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2018,02114,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,Crude prevalence,85.9,84.1,86.9,11999,POINT (-71.06730799 42.3631516),02114,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2019,02114,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,Crude prevalence,8.3,7.7,9.2,11999,POINT (-71.06730799 42.3631516),02114,HLTHSTAT,GHLTH,CrdPrv,General Health
2019,02113,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,Crude prevalence,87.3,85.8,88.3,6915,POINT (-71.05523575 42.36533484),02113,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2019,02113,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,12.4,12.1,12.8,6915,POINT (-71.05523575 42.36533484),02113,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2019,02113,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Crude prevalence,17.6,17.4,18.0,6915,POINT (-71.05523575 42.36533484),02113,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2019,02113,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,12.4,11.4,13.6,6915,POINT (-71.05523575 42.36533484),02113,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2018,02113,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,7.2,4.9,10.7,6915,POINT (-71.05523575 42.36533484),02113,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2019,02113,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,1.2,1.1,1.3,6915,POINT (-71.05523575 42.36533484),02113,HLTHOUT,STROKE,CrdPrv,Stroke
2019,02113,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,1.3,1.3,1.4,6915,POINT (-71.05523575 42.36533484),02113,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2019,02113,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,9.7,9.3,10.1,6915,POINT (-71.05523575 42.36533484),02113,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,02113,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,Crude prevalence,79.3,76.4,81.4,6915,POINT (-71.05523575 42.36533484),02113,PREVENT,DENTAL,CrdPrv,Dental Visit
2018,02113,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Crude prevalence,76.1,74.3,77.5,6915,POINT (-71.05523575 42.36533484),02113,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2019,02113,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,Crude prevalence,5.5,4.6,6.7,6915,POINT (-71.05523575 42.36533484),02113,PREVENT,ACCESS2,CrdPrv,Health Insurance
2019,02113,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,Crude prevalence,8.1,6.8,9.8,6915,POINT (-71.05523575 42.36533484),02113,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2019,02113,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,60.3,59.2,61.3,6915,POINT (-71.05523575 42.36533484),02113,PREVENT,BPMED,CrdPrv,Taking BP Medication
2019,02113,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,Crude prevalence,7.1,6.4,8.0,6915,POINT (-71.05523575 42.36533484),02113,HLTHSTAT,GHLTH,CrdPrv,General Health
2018,02113,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,30.8,29.8,32.1,6915,POINT (-71.05523575 42.36533484),02113,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2019,02113,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,2.5,2.3,2.6,6915,POINT (-71.05523575 42.36533484),02113,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2019,02113,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,4.5,4.4,4.6,6915,POINT (-71.05523575 42.36533484),02113,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2018,02113,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,Crude prevalence,85.1,83.0,86.8,6915,POINT (-71.05523575 42.36533484),02113,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2019,02113,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,16.1,15.5,16.7,6915,POINT (-71.05523575 42.36533484),02113,HLTHOUT,OBESITY,CrdPrv,Obesity
2019,02113,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,2.3,2.1,2.6,6915,POINT (-71.05523575 42.36533484),02113,HLTHOUT,COPD,CrdPrv,COPD
2019,02113,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,Crude prevalence,15.2,13.9,16.7,6915,POINT (-71.05523575 42.36533484),02113,RISKBEH,LPA,CrdPrv,Physical Inactivity
2019,02113,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,3.2,3.0,3.3,6915,POINT (-71.05523575 42.36533484),02113,HLTHOUT,DIABETES,CrdPrv,Diabetes
2018,02113,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Crude prevalence,30.7,27.9,33.7,6915,POINT (-71.05523575 42.36533484),02113,PREVENT,COREW,CrdPrv,Core preventive services for older women
2019,02113,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,13.7,13.4,14.2,6915,POINT (-71.05523575 42.36533484),02113,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2019,02113,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Crude prevalence,75.1,74.4,75.7,6915,POINT (-71.05523575 42.36533484),02113,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2018,02113,BRFSS,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,82.4,80.7,83.8,6915,POINT (-71.05523575 42.36533484),02113,PREVENT,MAMMOUSE,CrdPrv,Mammography
2019,02113,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,Crude prevalence,5.9,5.4,6.4,6915,POINT (-71.05523575 42.36533484),02113,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2019,02113,BRFSS,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,20.3,19.5,21.3,6915,POINT (-71.05523575 42.36533484),02113,HLTHOUT,DEPRESSION,CrdPrv,Depression
2019,02113,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,Crude prevalence,29.2,28.5,29.7,6915,POINT (-71.05523575 42.36533484),02113,RISKBEH,BINGE,CrdPrv,Binge Drinking
2018,02113,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",Crude prevalence,43.7,40.0,47.2,6915,POINT (-71.05523575 42.36533484),02113,PREVENT,COREM,CrdPrv,Core preventive services for older men
2019,02111,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,Crude prevalence,19.1,18.5,19.7,7383,POINT (-71.05910467 42.35013318),02111,RISKBEH,BINGE,CrdPrv,Binge Drinking
2019,02111,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Crude prevalence,25.9,25.3,26.6,7383,POINT (-71.05910467 42.35013318),02111,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2019,02111,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,Crude prevalence,85.2,83.2,86.8,7383,POINT (-71.05910467 42.35013318),02111,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2019,02111,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,4.5,4.3,4.6,7383,POINT (-71.05910467 42.35013318),02111,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2018,02111,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,37.8,36.6,39.0,7383,POINT (-71.05910467 42.35013318),02111,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2019,02111,BRFSS,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,16.4,15.5,17.5,7383,POINT (-71.05910467 42.35013318),02111,HLTHOUT,DEPRESSION,CrdPrv,Depression
2019,02111,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,Crude prevalence,10.2,9.3,11.0,7383,POINT (-71.05910467 42.35013318),02111,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2018,02111,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",Crude prevalence,34.5,29.9,38.7,7383,POINT (-71.05910467 42.35013318),02111,PREVENT,COREM,CrdPrv,Core preventive services for older men
2019,02111,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,16.8,16.2,17.3,7383,POINT (-71.05910467 42.35013318),02111,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2019,02111,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,72.6,71.5,73.5,7383,POINT (-71.05910467 42.35013318),02111,PREVENT,BPMED,CrdPrv,Taking BP Medication
2019,02111,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Crude prevalence,77.3,76.5,78.1,7383,POINT (-71.05910467 42.35013318),02111,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2019,02111,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,Crude prevalence,16.1,14.4,18.0,7383,POINT (-71.05910467 42.35013318),02111,HLTHSTAT,GHLTH,CrdPrv,General Health
2019,02111,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,Crude prevalence,28.9,26.7,31.4,7383,POINT (-71.05910467 42.35013318),02111,RISKBEH,LPA,CrdPrv,Physical Inactivity
2018,02111,BRFSS,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,79.8,77.1,82.0,7383,POINT (-71.05910467 42.35013318),02111,PREVENT,MAMMOUSE,CrdPrv,Mammography
2019,02111,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,9.1,8.6,9.7,7383,POINT (-71.05910467 42.35013318),02111,HLTHOUT,DIABETES,CrdPrv,Diabetes
2018,02111,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Crude prevalence,25.4,22.1,28.6,7383,POINT (-71.05910467 42.35013318),02111,PREVENT,COREW,CrdPrv,Core preventive services for older women
2019,02111,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,23.0,22.3,23.7,7383,POINT (-71.05910467 42.35013318),02111,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2018,02111,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,14.0,10.0,18.5,7383,POINT (-71.05910467 42.35013318),02111,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2019,02111,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,4.7,4.3,5.0,7383,POINT (-71.05910467 42.35013318),02111,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2019,02111,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,14.1,12.8,15.5,7383,POINT (-71.05910467 42.35013318),02111,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2018,02111,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Crude prevalence,61.2,58.4,64.0,7383,POINT (-71.05910467 42.35013318),02111,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
